year,month,day,precipitation
1990,1,1,0
1990,1,2,2.8
1990,1,3,0
1990,1,4,1.3
1990,1,5,0.1
1990,1,6,0
1990,1,7,0
1990,1,8,3.5
1990,1,9,0.9
1990,1,10,2.9
1990,1,11,0
1990,1,12,0.7
1990,1,13,3.2
1990,1,14,8
1990,1,15,0
1990,1,16,0
1990,1,17,0
1990,1,18,0
1990,1,19,0
1990,1,20,0
1990,1,21,0
1990,1,22,0
1990,1,23,0
1990,1,24,4.7
1990,1,25,0.1
1990,1,26,0
1990,1,27,0
1990,1,28,2.4
1990,1,29,0
1990,1,30,0
1990,1,31,0
1990,2,1,0
1990,2,2,0
1990,2,3,0
1990,2,4,0
1990,2,5,0.7
1990,2,6,0
1990,2,7,0
1990,2,8,0
1990,2,9,0
1990,2,10,0
1990,2,11,0
1990,2,12,0
1990,2,13,5
1990,2,14,0
1990,2,15,0
1990,2,16,0
1990,2,17,0
1990,2,18,0
1990,2,19,0.5
1990,2,20,0.5
1990,2,21,0
1990,2,22,5.7
1990,2,23,0
1990,2,24,4.4
1990,2,25,0.4
1990,2,26,1.2
1990,2,27,0.3
1990,2,28,0
1990,3,1,0
1990,3,2,0
1990,3,3,0
1990,3,4,0
1990,3,5,0
1990,3,6,0.4
1990,3,7,0
1990,3,8,0
1990,3,9,0
1990,3,10,0
1990,3,11,0
1990,3,12,0.2
1990,3,13,0
1990,3,14,0
1990,3,15,0
1990,3,16,1
1990,3,17,10
1990,3,18,8.8
1990,3,19,1.4
1990,3,20,0
1990,3,21,1.3
1990,3,22,17.6
1990,3,23,4.2
1990,3,24,2.4
1990,3,25,0
1990,3,26,0
1990,3,27,0
1990,3,28,1.5
1990,3,29,0
1990,3,30,0.2
1990,3,31,3.9
1990,4,1,1.2
1990,4,2,10.9
1990,4,3,0.1
1990,4,4,17.4
1990,4,5,0.2
1990,4,6,0.1
1990,4,7,0.2
1990,4,8,0
1990,4,9,0.3
1990,4,10,0.8
1990,4,11,0
1990,4,12,0
1990,4,13,0
1990,4,14,0
1990,4,15,0
1990,4,16,0
1990,4,17,0
1990,4,18,0
1990,4,19,0
1990,4,20,0.5
1990,4,21,0.7
1990,4,22,0.3
1990,4,23,0
1990,4,24,0
1990,4,25,0.2
1990,4,26,0.2
1990,4,27,0
1990,4,28,2.8
1990,4,29,0
1990,4,30,0
1990,5,1,3.9
1990,5,2,0.3
1990,5,3,0
1990,5,4,0
1990,5,5,16.8
1990,5,6,5.8
1990,5,7,1.2
1990,5,8,13.4
1990,5,9,13.5
1990,5,10,25.5
1990,5,11,3.8
1990,5,12,1.8
1990,5,13,3.1
1990,5,14,1.4
1990,5,15,0.2
1990,5,16,5
1990,5,17,2.2
1990,5,18,1.7
1990,5,19,0
1990,5,20,0.5
1990,5,21,0.8
1990,5,22,0
1990,5,23,0.1
1990,5,24,0
1990,5,25,0
1990,5,26,0
1990,5,27,0
1990,5,28,0
1990,5,29,0.8
1990,5,30,0.1
1990,5,31,2
1990,6,1,0.2
1990,6,2,0.8
1990,6,3,0
1990,6,4,1.4
1990,6,5,0
1990,6,6,2.4
1990,6,7,0
1990,6,8,0
1990,6,9,1
1990,6,10,0.2
1990,6,11,4.1
1990,6,12,4.7
1990,6,13,0
1990,6,14,1.6
1990,6,15,7.4
1990,6,16,0
1990,6,17,2.5
1990,6,18,0
1990,6,19,0
1990,6,20,1.8
1990,6,21,0.2
1990,6,22,0.7
1990,6,23,0
1990,6,24,1.8
1990,6,25,1.5
1990,6,26,0.3
1990,6,27,0
1990,6,28,0
1990,6,29,1.2
1990,6,30,0
1990,7,1,1
1990,7,2,0.4
1990,7,3,1.3
1990,7,4,4.4
1990,7,5,0.7
1990,7,6,0
1990,7,7,5.7
1990,7,8,0
1990,7,9,9.8
1990,7,10,4
1990,7,11,2.1
1990,7,12,5.6
1990,7,13,0.8
1990,7,14,0
1990,7,15,0
1990,7,16,0
1990,7,17,0
1990,7,18,0
1990,7,19,0
1990,7,20,0
1990,7,21,0
1990,7,22,1
1990,7,23,1.8
1990,7,24,1.5
1990,7,25,0
1990,7,26,0
1990,7,27,2.2
1990,7,28,0
1990,7,29,0
1990,7,30,0.6
1990,7,31,11.7
1990,8,1,0.2
1990,8,2,0
1990,8,3,0
1990,8,4,27.7
1990,8,5,0.9
1990,8,6,0
1990,8,7,0
1990,8,8,2
1990,8,9,1.4
1990,8,10,1.8
1990,8,11,0.3
1990,8,12,0
1990,8,13,0
1990,8,14,0
1990,8,15,0
1990,8,16,1.8
1990,8,17,1.2
1990,8,18,3.7
1990,8,19,14
1990,8,20,4.6
1990,8,21,0
1990,8,22,0
1990,8,23,0
1990,8,24,0
1990,8,25,5.9
1990,8,26,5.4
1990,8,27,0.8
1990,8,28,23.1
1990,8,29,3
1990,8,30,0
1990,8,31,0
1990,9,1,0
1990,9,2,0
1990,9,3,0
1990,9,4,0
1990,9,5,6.6
1990,9,6,0.2
1990,9,7,5.2
1990,9,8,0
1990,9,9,0
1990,9,10,0
1990,9,11,0
1990,9,12,6.8
1990,9,13,2.2
1990,9,14,0.4
1990,9,15,0
1990,9,16,0
1990,9,17,0
1990,9,18,0.4
1990,9,19,5.2
1990,9,20,0.8
1990,9,21,0
1990,9,22,1
1990,9,23,7.6
1990,9,24,4.4
1990,9,25,0.9
1990,9,26,0.5
1990,9,27,0
1990,9,28,12.2
1990,9,29,3.3
1990,9,30,0.9
1990,10,1,4.9
1990,10,2,8.8
1990,10,3,1.1
1990,10,4,0
1990,10,5,0
1990,10,6,0.3
1990,10,7,0.2
1990,10,8,0
1990,10,9,0
1990,10,10,0
1990,10,11,0.5
1990,10,12,5.1
1990,10,13,1.4
1990,10,14,0
1990,10,15,0
1990,10,16,0
1990,10,17,0
1990,10,18,0
1990,10,19,0
1990,10,20,0
1990,10,21,3.9
1990,10,22,0
1990,10,23,0
1990,10,24,1.2
1990,10,25,0
1990,10,26,0
1990,10,27,0
1990,10,28,0
1990,10,29,0
1990,10,30,0
1990,10,31,0
1990,11,1,0
1990,11,2,6.8
1990,11,3,0
1990,11,4,0
1990,11,5,0.4
1990,11,6,0.2
1990,11,7,0
1990,11,8,0
1990,11,9,0
1990,11,10,0
1990,11,11,0
1990,11,12,0
1990,11,13,0.1
1990,11,14,0
1990,11,15,1.6
1990,11,16,25.4
1990,11,17,0
1990,11,18,1.4
1990,11,19,7.2
1990,11,20,17.6
1990,11,21,0.3
1990,11,22,3.9
1990,11,23,5
1990,11,24,2.4
1990,11,25,1.2
1990,11,26,0
1990,11,27,8.8
1990,11,28,0.2
1990,11,29,0
1990,11,30,3.2
1990,12,1,8.8
1990,12,2,0
1990,12,3,0
1990,12,4,0
1990,12,5,1.7
1990,12,6,0.5
1990,12,7,0
1990,12,8,25.8
1990,12,9,0.2
1990,12,10,0
1990,12,11,0
1990,12,12,0
1990,12,13,0
1990,12,14,0
1990,12,15,0.6
1990,12,16,0
1990,12,17,1.9
1990,12,18,5.2
1990,12,19,1.2
1990,12,20,0.9
1990,12,21,0.3
1990,12,22,0
1990,12,23,0.3
1990,12,24,0
1990,12,25,1
1990,12,26,0
1990,12,27,0
1990,12,28,0
1990,12,29,0
1990,12,30,0
1990,12,31,0
1991,1,1,0.3
1991,1,2,0
1991,1,3,0
1991,1,4,0.6
1991,1,5,0
1991,1,6,0
1991,1,7,0.4
1991,1,8,0
1991,1,9,0.2
1991,1,10,0
1991,1,11,1.4
1991,1,12,0
1991,1,13,0
1991,1,14,0
1991,1,15,1.2
1991,1,16,0
1991,1,17,2.4
1991,1,18,0.6
1991,1,19,0.1
1991,1,20,0
1991,1,21,0
1991,1,22,0
1991,1,23,0.3
1991,1,24,0.6
1991,1,25,17.2
1991,1,26,0.2
1991,1,27,0
1991,1,28,1.7
1991,1,29,0
1991,1,30,0
1991,1,31,0
1991,2,1,1
1991,2,2,2.2
1991,2,3,0.7
1991,2,4,0.8
1991,2,5,1.4
1991,2,6,3.5
1991,2,7,0
1991,2,8,0.2
1991,2,9,0
1991,2,10,0.1
1991,2,11,0
1991,2,12,0
1991,2,13,0.5
1991,2,14,1
1991,2,15,0.2
1991,2,16,1.6
1991,2,17,1.4
1991,2,18,0
1991,2,19,0.3
1991,2,20,1
1991,2,21,3.7
1991,2,22,0.7
1991,2,23,7.8
1991,2,24,1.4
1991,2,25,5.2
1991,2,26,1
1991,2,27,0.1
1991,2,28,0.2
1991,3,1,1.3
1991,3,2,0.2
1991,3,3,1.4
1991,3,4,0.5
1991,3,5,1.2
1991,3,6,0.1
1991,3,7,0.1
1991,3,8,0.1
1991,3,9,0
1991,3,10,0.6
1991,3,11,0
1991,3,12,0
1991,3,13,1.2
1991,3,14,0.1
1991,3,15,0
1991,3,16,8.7
1991,3,17,9.2
1991,3,18,9.3
1991,3,19,0
1991,3,20,11.2
1991,3,21,12
1991,3,22,4.2
1991,3,23,2
1991,3,24,0
1991,3,25,0
1991,3,26,9.5
1991,3,27,23.5
1991,3,28,0.1
1991,3,29,1.3
1991,3,30,0.1
1991,3,31,0.2
1991,4,1,0.1
1991,4,2,0
1991,4,3,0
1991,4,4,20.8
1991,4,5,7.1
1991,4,6,0.4
1991,4,7,2.4
1991,4,8,0.2
1991,4,9,0
1991,4,10,0.1
1991,4,11,0
1991,4,12,0.4
1991,4,13,0
1991,4,14,0.1
1991,4,15,0.2
1991,4,16,0
1991,4,17,0.3
1991,4,18,3.8
1991,4,19,1.7
1991,4,20,1.7
1991,4,21,16.6
1991,4,22,1.9
1991,4,23,0.7
1991,4,24,15
1991,4,25,0
1991,4,26,0.3
1991,4,27,0
1991,4,28,0
1991,4,29,0
1991,4,30,0
1991,5,1,9.4
1991,5,2,0
1991,5,3,0
1991,5,4,0
1991,5,5,4.7
1991,5,6,0
1991,5,7,0
1991,5,8,0
1991,5,9,0
1991,5,10,0
1991,5,11,0
1991,5,12,0.7
1991,5,13,0.1
1991,5,14,2.6
1991,5,15,2.5
1991,5,16,0
1991,5,17,0
1991,5,18,1.4
1991,5,19,2.5
1991,5,20,0
1991,5,21,0
1991,5,22,0
1991,5,23,0
1991,5,24,0
1991,5,25,0
1991,5,26,0.3
1991,5,27,1.5
1991,5,28,0
1991,5,29,0
1991,5,30,0
1991,5,31,0
1991,6,1,0
1991,6,2,0
1991,6,3,0
1991,6,4,0
1991,6,5,0
1991,6,6,1.2
1991,6,7,1.2
1991,6,8,0
1991,6,9,0
1991,6,10,0.4
1991,6,11,0
1991,6,12,0
1991,6,13,0
1991,6,14,0
1991,6,15,0
1991,6,16,0
1991,6,17,0.9
1991,6,18,14.9
1991,6,19,0.4
1991,6,20,0.4
1991,6,21,7.2
1991,6,22,13.1
1991,6,23,0
1991,6,24,0
1991,6,25,0
1991,6,26,0.2
1991,6,27,0.2
1991,6,28,2.4
1991,6,29,7.1
