GDAS dE %,NCEP/NCAR dE %,GDAS dN %,NCEP/NCAR dN %,GDAS dW %,NCEP/NCAR dW %,GDAS dS %,NCEP/NCAR dS %
0.039413815,0.060202558,0.031130819,0.11218961,-0.061276035,-0.136706204,0.057343844,0.08572085
0.035783309,-0.124374833,0.002144506,0.202753368,-0.017072725,-0.142226767,-0.164621719,0.23274411
0.15948585,0.281735168,0.007921856,-0.079327425,-0.125410025,-0.167116494,-0.151870403,0.010340795
-0.195175873,0.115561014,-0.050126576,0.225966484,0.12271459,-0.272325547,0.245009549,0.163586669
0.248586141,-0.10313945,0.21167871,-0.098981743,-0.277291808,0.129372573,0.043211155,-0.016733531
0.019292797,0.034613202,0.101526813,0.170006576,-0.081956804,-0.140272464,0.048524822,0.042844321
-0.017528886,-0.08705306,0.171524491,0.163162918,0.002375577,-0.140285726,-0.158626146,0.218384545
0.155980245,0.239818586,0.057706449,0.275411328,-0.167963082,-0.272765806,-0.100454258,-0.008666133
-0.241272987,0.039282291,0.109070234,0.456599988,0.093899909,-0.291297612,0.254900696,0.039827685
0.232325569,-0.158717635,0.206294241,-0.056348431,-0.291040782,0.143976856,-0.073241764,-0.099759122
0.029324859,-0.002939593,0.123549987,0.183815853,-0.104640002,-0.14722855,0.061378766,0.017631556
-0.048857048,-0.158861403,-0.047977352,0.103297961,0.065679144,-0.075689964,-0.338088671,0.219511772
0.282756982,0.163258902,0.065641588,0.351104752,-0.257194635,-0.28308658,-0.189882475,-0.010213601
-0.338072492,0.270050297,0.24205178,0.369964403,0.066547923,-0.350625145,0.25860043,0.038677846
0.261761411,-0.109448639,0.206167284,-0.078752523,-0.337219248,0.134199586,0.051140769,-0.099759122
0.043180606,-0.048642488,0.167067347,0.156167321,-0.149426652,-0.13311653,0.072443402,0.075661286
-0.038740493,-0.176072287,0.181144098,0.082919306,0.051868795,-0.056508689,-0.338088671,0.219511772
0.367409862,0.031932637,0.090030243,0.357723464,-0.312724118,-0.266718908,-0.187271626,-0.029549466
-0.323363915,0.259740707,0.185520254,0.331142779,-0.012803965,-0.377941596,0.244998712,0.155122218
0.171018657,-0.109448639,0.387094082,-0.13505197,-0.34112236,0.156824976,0.110756287,-0.063988819
