GDAS dE %,NCEP/NCAR dE %,GDAS dN %,NCEP/NCAR dN %,GDAS dW %,NCEP/NCAR dW %,GDAS dS %,NCEP/NCAR dS %
0.661255756,0.487923381,0.72930976,0.195148465,0.49548704,0.113867888,0.52360837,0.322885502
0.859356243,0.490436357,0.991529912,0.257793436,0.932642485,0.429788651,0.41190631,0.192422654
0.375324507,0.118249911,0.96510089,0.666053062,0.486804406,0.360614993,0.398837387,0.955206038
0.261187456,0.528813066,0.774906785,0.21366041,0.482501705,0.131585394,0.156020973,0.370992221
0.177506826,0.53776096,0.252973449,0.554361808,0.130981239,0.438855658,0.817462182,0.920571817
0.830217388,0.690225703,0.257969439,0.04868907,0.361594874,0.104654279,0.58948719,0.621727426
0.930846964,0.630007936,0.392296721,0.364269515,0.990617297,0.436174681,0.429372297,0.222103248
0.386045225,0.186156879,0.749739994,0.127095753,0.350132843,0.130937808,0.578056886,0.962454715
0.162630703,0.830971787,0.532825312,0.008617161,0.59159074,0.105755708,0.139466148,0.828659339
0.208510874,0.341214045,0.265525454,0.736856715,0.112182128,0.38847255,0.695382191,0.551239736
0.744454423,0.973006769,0.168107448,0.032834088,0.243582376,0.088374906,0.49476318,0.839157731
0.80878,0.377221254,0.812162042,0.567284768,0.744816576,0.675477937,0.084556087,0.219666702
0.110842916,0.371964648,0.716653908,0.048796544,0.148475028,0.116420489,0.28987335,0.955756473
0.046994779,0.134969695,0.16123673,0.037144935,0.704074494,0.049126933,0.133617797,0.833536236
0.154888179,0.513035607,0.265826225,0.638371235,0.063573307,0.421818528,0.784686191,0.551239736
0.631160198,0.575308303,0.061511566,0.070491136,0.094922685,0.123767654,0.420167415,0.383109636
0.847861377,0.327015288,0.365875513,0.6464066,0.79722688,0.754774049,0.084556087,0.219666702
0.035428503,0.862262022,0.618303292,0.044415252,0.076404531,0.140039449,0.296679209,0.872454648
0.058114684,0.151107019,0.285976713,0.06412353,0.941805203,0.032947763,0.156039857,0.396582625
0.357643842,0.513035607,0.031448803,0.418849096,0.060379447,0.347076043,0.553078653,0.702707365
