GDAS dE %,NCEP/NCAR dE %,GDAS dN %,NCEP/NCAR dN %,GDAS dW %,NCEP/NCAR dW %,GDAS dS %,NCEP/NCAR dS %
0.169673528,0.212666055,0.053022683,0.066992005,-0.183058867,-0.201720375,0.055957699,0.093939136
0.276076697,0.366365545,0.170023527,-0.079628693,-0.297972565,-0.185921259,0.08210596,0.199866151
0.192899325,0.031185965,-0.033783152,0.207830993,-0.106387649,-0.150382201,-0.284180007,0.088607487
0.143062015,0.192731411,0.089123739,-0.125222558,-0.166164944,-0.051307914,-0.029054434,0.130551389
-0.170821686,0.244070899,-0.222175876,0.274806086,0.141063314,-0.305428388,0.247063461,-0.042449888
0.166818021,0.191687227,0.003937795,0.056894575,-0.160266521,-0.161127606,0.027019636,0.091604363
0.375327519,0.356561077,-0.037527482,-0.036512472,-0.353581757,-0.160279306,0.046946599,0.20545276
0.094714978,-0.014251383,-0.051924682,0.151818568,0.004074303,-0.109960434,-0.354394645,0.094790228
0.217962261,0.168651132,-0.045246098,-0.197362112,-0.186127009,0.002146459,-0.03957721,0.094751525
-0.138709837,0.28364517,-0.168380576,0.239364718,0.153188624,-0.291393772,0.213168836,-0.083179365
0.138504787,0.163056381,-0.021542503,0.052809627,-0.104012617,-0.128079387,-0.001234376,0.103350695
0.387407273,0.385224391,-0.132465024,-0.023838304,-0.375108754,-0.094034457,-0.118064235,0.172640073
-0.008662959,-0.052079977,-0.086529652,0.109390865,0.100694138,-0.104577496,-0.183539984,0.087312698
0.298640764,0.177654742,-0.169420793,-0.182027905,-0.158612321,0.067172293,-0.021707397,0.096765297
-0.203378924,0.228411805,-0.190229235,0.297214595,0.279235847,-0.282991534,-0.073266453,-0.083179365
0.098749556,0.177876466,-0.021276968,0.070776908,-0.056351152,-0.144074774,-0.024839272,0.107816969
0.367165768,0.361426288,0.162600818,-0.008029169,-0.360395312,-0.100127228,-0.118064235,0.172640073
-0.040635729,0.049457752,-0.009618765,0.116455002,0.072019556,-0.149596317,-0.181850644,0.12196391
0.206042062,0.15879373,-0.104828386,-0.13712487,-0.044881495,0.028575561,-0.055030421,0.140406913
-0.18104889,0.228411805,-0.28600867,0.328313417,0.301922791,-0.296942611,-0.114442409,-0.185537173
