GDAS dE %,NCEP/NCAR dE %,GDAS dN %,NCEP/NCAR dN %,GDAS dW %,NCEP/NCAR dW %,GDAS dS %,NCEP/NCAR dS %
0.057512508,0.013272414,0.555417618,0.440110584,0.040196587,0.018968174,0.533710749,0.278487614
0.16334161,0.035994157,0.396514821,0.659578756,0.131151035,0.300238823,0.68390818,0.264777098
0.282134613,0.865453215,0.851943295,0.253698576,0.55568559,0.41134334,0.108981556,0.629629922
0.4122969,0.290591397,0.610661463,0.494683728,0.340084689,0.780338838,0.868408301,0.476350338
0.35820614,0.139747505,0.229645213,0.094968651,0.449092654,0.062219377,0.180263502,0.800228598
0.06190578,0.025934634,0.965094692,0.512184946,0.073026571,0.061909576,0.763927893,0.290660975
0.053709248,0.041669625,0.852572933,0.840129607,0.070407097,0.372922496,0.816129013,0.251374944
0.600071391,0.93829395,0.774130086,0.406838071,0.982046975,0.549103911,0.043015985,0.605822845
0.208449639,0.356157832,0.796337286,0.278931171,0.284375797,0.990697589,0.821413904,0.605970678
0.456770492,0.084394092,0.365218491,0.147787813,0.410655436,0.07589582,0.249570118,0.619552012
0.121939858,0.058812391,0.810770768,0.542980991,0.246435965,0.138762756,0.989055163,0.232925226
0.045877796,0.026839222,0.510120069,0.895238245,0.053860151,0.602705429,0.557534096,0.336682136
0.961838283,0.777115798,0.632074953,0.551187679,0.577144686,0.568943101,0.306581599,0.634663258
0.081397628,0.330677323,0.330571458,0.318716051,0.362788767,0.714903248,0.901494899,0.598299166
0.272488084,0.167801497,0.30535156,0.069963523,0.128191337,0.085143372,0.695284385,0.619552012
0.2712863,0.039016851,0.813060321,0.41465457,0.530833366,0.095486378,0.782483581,0.21324101
0.059567664,0.038769479,0.417748798,0.964628424,0.064794949,0.579301535,0.557534096,0.336682136
0.822347882,0.788076981,0.957631386,0.525608031,0.690419115,0.413820167,0.311132116,0.506068496
0.235036183,0.385360889,0.548969468,0.454231231,0.79794439,0.876625848,0.753537178,0.443396872
0.329709337,0.167801497,0.118813036,0.044175553,0.098792818,0.070232342,0.539861093,0.264748127
